company_name,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,status,last_funding_year,last_funding_month,founded_year
Flores-Haynes,E-Commerce,India,5.0,15242527,5,1,fail,7,9,5
Rivera Inc,Biotech,UK,3.0,27829063,3,6,fail,13,4,5
Bradshaw-Hernandez,E-Commerce,UK,0.0,12288171,1,5,success,11,7,11
Torres and Sons,AI,US,9.0,37324206,3,4,success,3,1,2
Thomas-Roberts,E-Commerce,UK,1.0,17961963,8,3,fail,10,5,2
Olson-Ford,FinTech,India,1.0,26431455,4,7,fail,6,9,4
Osborne-Hurst,AI,India,0.0,17747366,3,3,fail,10,5,9
Howard Group,SaaS,Canada,3.0,23145981,3,3,fail,7,2,0
"Cochran, Matthews and Weber",E-Commerce,US,7.0,18589544,1,2,fail,12,10,5
Miles Inc,FinTech,US,6.0,27544541,6,4,success,8,3,2
"Stephenson, Duarte and Davis",HealthTech,Israel,0.0,15615310,2,4,fail,14,3,9
Gray Ltd,SaaS,US,3.0,18274443,3,5,fail,6,3,3
Benson Inc,EdTech,US,4.0,5769489,1,2,fail,14,3,9
Hernandez-Ponce,E-Commerce,UK,1.0,11404093,1,4,success,5,7,2
"Luna, Harvey and Robinson",Gaming,Canada,9.0,11931399,1,5,fail,14,3,6
Carroll-Winters,E-Commerce,US,0.0,13354157,2,4,fail,4,7,2
Solis PLC,SaaS,US,4.0,20119236,2,5,fail,13,1,7
Mendoza and Sons,SaaS,US,2.0,14219640,2,4,success,13,7,6
"Jones, Joseph and Harris",AI,India,5.0,22731747,2,6,fail,11,10,10
Roberts Inc,E-Commerce,US,1.0,9792243,3,3,fail,6,2,4
Francis LLC,E-Commerce,UK,1.0,5222135,3,5,fail,1,9,0
Wise-Woods,Gaming,US,4.0,8420680,4,1,fail,3,3,1
Smith and Sons,FinTech,US,19.0,24954232,3,4,fail,14,3,7
Stevens-Brown,E-Commerce,India,18.0,24333531,8,4,success,13,3,8
"Foster, Flores and Garcia",Biotech,Singapore,1.0,24792422,5,4,success,10,7,5
"Cortez, Martinez and Robinson",E-Commerce,Israel,0.0,15960543,2,4,fail,9,10,4
Griffin-Franklin,Gaming,Singapore,4.0,13484260,1,3,fail,9,6,5
Smith and Sons,E-Commerce,India,2.0,12383604,4,5,success,14,3,6
Jackson PLC,FinTech,US,7.0,25552408,3,3,fail,14,3,7
Andrews-Rivera,FinTech,US,3.0,39090476,3,6,fail,2,6,2
Wade-Warren,HealthTech,UK,3.0,20318500,2,8,success,7,5,5
Walker LLC,HealthTech,US,5.0,12855995,1,9,fail,0,3,0
Hall-Thomas,AI,US,3.0,25706144,2,5,fail,14,3,11
Greene Group,EdTech,US,5.0,11384524,2,2,fail,14,3,11
Wilson-Moore,Biotech,India,3.0,34017719,2,5,fail,4,11,2
Torres Ltd,E-Commerce,US,8.0,22712247,4,5,success,10,9,5
Blake-Terry,AI,US,0.0,23028542,2,4,success,10,2,8
Santos and Sons,AI,India,1.0,29881722,3,4,fail,12,8,6
"Beard, Patterson and Jones",AI,US,15.0,36825334,2,6,success,14,3,12
"Miles, Maxwell and Turner",AI,India,4.0,28447979,2,2,fail,5,5,5
Gates-Shaffer,FinTech,Germany,13.0,25837690,4,5,success,9,10,3
Osborn PLC,FinTech,US,5.0,29058385,2,5,success,14,3,10
"Bowers, Ferguson and Green",FinTech,Canada,13.0,32794373,2,10,success,6,7,3
"Hobbs, Brown and Christian",FinTech,US,1.0,14644964,1,6,fail,5,12,4
"King, Sanders and Miller",EdTech,India,0.0,6080278,1,1,fail,14,3,7
Chandler Inc,HealthTech,India,8.0,22136825,1,5,fail,8,6,2
Potts-Bray,Gaming,Singapore,8.0,15054531,2,6,fail,6,8,3
"Williams, Watkins and Cooper",Gaming,India,4.0,7424613,2,4,fail,9,3,3
"Morales, Berger and Thompson",Biotech,US,4.0,36782718,3,7,success,12,4,11
"Mueller, Bell and Myers",Biotech,India,12.0,38139412,2,4,success,14,3,12
"Murphy, Phelps and Jackson",E-Commerce,US,0.0,10111780,1,3,fail,14,3,11
Rivera Ltd,HealthTech,US,0.0,18720018,4,5,fail,9,1,3
"Hardin, Smith and Burton",SaaS,India,0.0,18587394,3,5,fail,8,6,2
Hart Group,Gaming,US,2.0,11328777,1,3,fail,4,9,2
Lopez LLC,Gaming,Germany,8.0,13940214,1,5,fail,4,12,2
Fowler Ltd,SaaS,US,18.0,20716453,5,4,fail,14,3,10
"Watkins, Johnson and Rangel",FinTech,Israel,0.0,23692995,2,6,success,6,12,2
Howe LLC,FinTech,UK,2.0,19052354,7,2,fail,14,3,12
"Reese, Ryan and Williams",E-Commerce,US,0.0,15091174,1,4,fail,14,3,9
"Morrison, Gomez and Ray",Biotech,UK,1.0,19658365,2,4,success,13,3,4
"Mitchell, James and Martin",FinTech,US,1.0,22075548,1,8,fail,14,3,8
"Fuentes, Garcia and Wilson",Gaming,Israel,2.0,8811685,5,2,fail,5,2,2
Adams Group,AI,US,0.0,19521271,2,1,fail,14,3,11
Bush Group,SaaS,US,3.0,19415993,2,3,fail,14,3,12
Stephenson LLC,SaaS,Singapore,12.0,22015969,2,3,fail,11,8,8
"Gross, Williams and Gonzalez",Gaming,Singapore,6.0,10903671,8,2,success,8,2,3
Cherry Inc,E-Commerce,US,3.0,20972980,4,6,fail,4,12,0
"Lamb, Robinson and Phillips",Biotech,Germany,8.0,32740506,2,6,success,11,7,6
"Hardin, Brooks and Melton",HealthTech,US,2.0,25939584,5,7,fail,8,2,5
"Wells, Roberts and Montgomery",FinTech,Germany,6.0,23172779,2,6,fail,14,3,7
Ramirez Inc,E-Commerce,Israel,7.0,19307562,1,4,success,13,3,4
Garcia-Carter,SaaS,US,1.0,7701494,1,4,success,14,3,8
Kelley-Larson,AI,US,9.0,34473123,2,7,fail,14,3,10
"Walters, Baker and Willis",SaaS,US,3.0,14177435,3,4,fail,6,6,5
Thornton Group,EdTech,US,0.0,11188110,2,2,fail,10,4,3
Smith Inc,HealthTech,US,5.0,17945616,2,4,fail,3,7,3
Kelley and Sons,Biotech,Canada,5.0,39974614,3,6,fail,14,3,11
Harper Ltd,FinTech,US,4.0,28161376,2,5,success,8,6,6
Ochoa-Harvey,Gaming,India,1.0,8413798,1,3,fail,14,3,8
Browning-Rodriguez,E-Commerce,Canada,3.0,14986903,2,5,fail,10,8,5
"Arnold, Lloyd and Thompson",AI,India,2.0,25897470,3,7,fail,6,6,4
Sparks-Holt,E-Commerce,India,18.0,24837554,2,5,success,1,11,0
Chapman-Shepard,HealthTech,US,8.0,26136421,2,6,fail,12,2,7
"Murphy, George and Gillespie",E-Commerce,India,7.0,13007596,5,2,success,10,11,4
"Wagner, Vega and Hill",HealthTech,US,0.0,17060152,4,5,success,14,3,12
English-Torres,HealthTech,Germany,2.0,18858415,1,4,fail,12,6,11
Grimes Ltd,HealthTech,US,2.0,22415931,4,4,success,14,3,10
Thompson and Sons,AI,UK,3.0,23800182,4,6,success,13,7,6
"Bates, Silva and Sanchez",SaaS,UK,0.0,12993124,2,4,fail,5,8,1
Harris-Johnson,AI,UK,4.0,31513810,2,6,success,3,7,2
"Gonzales, Cisneros and Dunn",Gaming,US,2.0,12752759,1,5,fail,14,3,7
"Freeman, Wood and Livingston",AI,US,4.0,28216376,5,2,success,14,3,12
Garcia and Sons,EdTech,Israel,0.0,3610670,4,6,fail,8,5,7
"Johnson, Gardner and Bradley",E-Commerce,US,1.0,10024334,1,6,fail,10,1,9
"Tate, Trujillo and Dixon",E-Commerce,US,7.0,19161637,4,3,success,12,5,10
Morrison Ltd,EdTech,UK,3.0,8568787,2,2,fail,4,11,4
Brown-Porter,FinTech,Canada,7.0,16152672,1,3,fail,11,2,10
"Neal, Smith and Vazquez",Gaming,US,6.0,16951719,1,3,fail,14,3,5
Duncan LLC,SaaS,UK,9.0,16271809,6,3,fail,14,3,6
Williams PLC,HealthTech,India,0.0,13540829,3,3,success,10,10,9
Fowler PLC,SaaS,US,1.0,5663554,3,3,fail,6,7,1
Potter-Coleman,FinTech,UK,3.0,25740818,2,3,fail,10,1,5
Coleman LLC,HealthTech,Canada,14.0,24433734,4,6,fail,4,7,4
Stewart-Zhang,FinTech,Singapore,5.0,19375199,3,7,fail,3,10,0
Rodriguez and Sons,SaaS,US,3.0,12004948,1,7,fail,13,6,5
Li-Stevens,SaaS,UK,0.0,14388884,1,4,fail,8,8,8
Gallagher-Strickland,SaaS,India,3.0,9289273,1,5,success,11,8,4
"Brown, Franklin and Mills",FinTech,US,2.0,26818126,2,5,fail,8,11,3
"Garcia, Yu and Smith",AI,UK,7.0,21300692,1,5,fail,11,8,5
Rose-Smith,EdTech,US,2.0,5937716,4,8,success,14,3,12
Lewis-Peterson,HealthTech,US,1.0,12962954,1,7,fail,13,11,12
Williams LLC,AI,US,0.0,19936800,5,5,fail,3,11,2
Silva-Colon,FinTech,US,0.0,19052224,5,2,fail,14,3,6
Clark Ltd,HealthTech,India,2.0,21109893,1,5,success,14,3,9
Hubbard Group,AI,US,2.0,33200255,2,8,fail,14,3,12
Bernard-Howard,EdTech,India,4.0,10285696,2,6,fail,10,12,3
White Inc,FinTech,US,6.0,19474475,1,2,fail,14,3,10
Harrison PLC,HealthTech,UK,0.0,11285908,1,2,fail,7,10,3
Green PLC,HealthTech,Canada,3.0,22824306,4,7,fail,1,11,1
Owens-Daniels,HealthTech,US,9.0,20302028,4,3,success,14,3,6
Turner-Foster,HealthTech,India,3.0,23545583,1,5,fail,8,4,3
"Vasquez, Potter and Mcguire",E-Commerce,UK,3.0,13468209,3,2,fail,14,3,5
Mccall PLC,EdTech,India,3.0,12611769,4,4,success,1,12,0
Young and Sons,E-Commerce,US,2.0,6715566,3,1,success,8,7,5
Gordon-Espinoza,SaaS,UK,0.0,15127872,1,1,fail,14,3,12
"Love, Bryan and Lewis",EdTech,US,0.0,5763253,3,1,success,6,3,3
"Sullivan, Adams and Sawyer",FinTech,US,0.0,18466026,3,3,success,6,8,2
"Nichols, Terry and Anderson",Gaming,US,1.0,13518411,3,7,fail,7,3,2
Bowen-Garcia,FinTech,India,14.0,18604504,2,6,fail,12,12,7
"Singh, Price and Rasmussen",FinTech,Germany,5.0,16545551,4,2,success,14,3,12
"Davis, Johnson and Hood",AI,US,6.0,33682563,5,8,success,14,3,8
Perez LLC,AI,Singapore,0.0,18174663,5,5,fail,7,6,6
Jones-Clark,Biotech,UK,4.0,25941129,1,2,fail,5,2,1
Cooley Group,Gaming,US,14.0,18542950,1,3,success,8,6,0
Rodriguez Group,E-Commerce,US,0.0,14170027,1,3,success,14,3,10
Pacheco-Harrell,E-Commerce,India,1.0,7339299,1,5,fail,7,1,2
"Anderson, Morris and Smith",E-Commerce,Israel,0.0,7133657,1,2,fail,11,4,6
Palmer LLC,HealthTech,India,4.0,13594224,5,4,fail,9,5,6
"Silva, Davies and Rosario",FinTech,UK,0.0,15438516,2,4,fail,6,7,0
Chambers and Sons,FinTech,US,3.0,21938522,3,5,fail,3,5,2
"Hall, Garcia and Simpson",FinTech,US,6.0,27206849,3,5,success,10,7,8
Hudson-Lewis,HealthTech,US,0.0,13984233,1,4,fail,11,5,10
Bryant-Kelley,E-Commerce,Germany,7.0,10747719,1,4,fail,9,4,8
"Butler, Combs and Murray",Biotech,US,0.0,27387018,2,7,success,10,11,6
Wright Group,AI,US,0.0,17209013,2,4,fail,14,3,12
Sullivan Group,Biotech,US,1.0,26772815,2,5,fail,14,3,9
Tucker Ltd,E-Commerce,Canada,7.0,8202013,3,3,success,14,3,9
Hester Group,E-Commerce,Germany,9.0,19272941,3,7,fail,5,4,3
Jones and Sons,E-Commerce,US,1.0,11300622,1,6,success,14,3,9
Mendez LLC,HealthTech,Israel,0.0,11153513,1,1,fail,7,7,1
"Duke, Valdez and Hanson",FinTech,US,9.0,27206774,2,4,fail,7,8,0
Barnes Inc,Biotech,US,5.0,34357284,3,8,fail,9,4,9
"Grimes, Williams and Mills",Biotech,US,0.0,31826981,4,7,fail,5,1,2
Young Inc,FinTech,US,4.0,25972205,4,5,fail,13,4,7
"Ward, Miles and Williams",HealthTech,US,3.0,24035975,3,4,fail,13,2,6
Palmer PLC,E-Commerce,UK,0.0,17474241,3,3,fail,10,9,3
Beard-Smith,HealthTech,UK,0.0,18618270,2,7,fail,10,6,4
Silva LLC,E-Commerce,UK,1.0,14971093,2,5,fail,13,9,8
"Andrade, Burns and Burch",FinTech,UK,5.0,22648395,1,5,success,14,3,8
"Bell, Carter and Douglas",E-Commerce,Germany,0.0,8633186,3,3,fail,9,5,8
Hickman PLC,E-Commerce,US,8.0,18016980,2,4,fail,14,3,9
Porter and Sons,E-Commerce,UK,6.0,14127910,1,3,fail,14,3,10
"Hernandez, Waters and Christensen",FinTech,India,4.0,23809166,2,5,fail,14,3,7
Ross Inc,E-Commerce,Singapore,0.0,9929698,6,1,fail,10,7,9
"Allen, Hernandez and Jones",Biotech,US,22.0,45499988,6,7,fail,14,3,9
Williams-Velasquez,E-Commerce,US,3.0,12622989,1,2,fail,5,8,2
Nelson-Williams,SaaS,Germany,27.0,33064006,2,6,fail,13,4,11
"Smith, Thomas and Logan",Biotech,US,9.0,36922140,3,7,success,14,3,11
Peters-Keller,SaaS,India,3.0,16379540,1,3,fail,9,12,4
Woodard LLC,Gaming,Singapore,0.0,5924212,1,5,fail,14,3,10
"Gutierrez, Blair and Riley",FinTech,US,13.0,28847175,5,4,fail,3,10,2
Sanchez-White,E-Commerce,US,9.0,14176219,1,4,fail,10,11,9
Thompson LLC,Biotech,US,1.0,29057209,8,5,fail,11,11,8
"Larsen, Grant and Bullock",Biotech,US,7.0,42458296,3,7,fail,13,6,5
"Harris, Nelson and Reid",SaaS,Germany,1.0,15151209,1,4,fail,14,3,8
Jennings-Pearson,Gaming,Israel,4.0,17078600,2,1,fail,2,6,2
Thompson Inc,EdTech,US,1.0,6490203,1,1,fail,5,1,2
"Mccormick, Wilson and Holden",AI,US,0.0,22902904,2,3,fail,11,2,6
Holloway-Brooks,Gaming,US,5.0,6273786,2,3,success,14,3,9
Price LLC,SaaS,US,1.0,13186794,1,4,success,10,5,4
"Wagner, Beasley and Hurst",SaaS,US,0.0,16492246,5,4,fail,7,4,2
"Sampson, Carter and Clark",EdTech,UK,0.0,8831088,3,4,fail,12,12,10
Harris-Martinez,E-Commerce,US,5.0,14501909,2,6,success,12,6,9
"Jones, Baker and Rowe",FinTech,Israel,1.0,29552180,2,7,fail,8,9,1
"Gomez, Kelly and Watson",AI,Germany,2.0,37984297,8,6,success,8,3,2
Green and Sons,FinTech,Singapore,3.0,27670737,2,3,fail,14,3,12
Sims-Lamb,SaaS,India,1.0,13484709,1,2,fail,4,9,2
"Brown, Brown and Barnes",SaaS,India,0.0,18745154,3,3,fail,3,5,1
"Wilson, Horn and Blair",AI,Germany,5.0,34696110,5,5,success,13,11,12
Peters-Benson,E-Commerce,Singapore,0.0,8514662,1,1,fail,8,8,1
Long LLC,FinTech,US,5.0,29188012,2,3,fail,13,9,8
Thompson Ltd,SaaS,US,0.0,15155529,4,3,fail,7,1,6
Wilson Ltd,FinTech,US,1.0,12723306,3,8,fail,14,3,9
Meadows LLC,AI,Canada,3.0,29483932,3,5,fail,14,3,10
Miller-Potter,AI,US,1.0,25555280,2,4,fail,10,2,5
"Clark, Oneal and Wells",AI,India,5.0,28315505,8,6,fail,10,4,4
Hill-Schmidt,Gaming,India,15.0,13574512,5,3,fail,2,11,1
Mejia Inc,FinTech,US,0.0,15783952,1,4,success,9,4,2
Brown PLC,SaaS,India,4.0,22033683,2,4,fail,8,3,0
Meyer Group,FinTech,India,12.0,19010514,1,3,fail,14,3,6
"Harris, Lee and West",FinTech,US,0.0,15592753,3,2,fail,7,7,1
Johnson-Smith,E-Commerce,India,2.0,12974981,1,3,fail,8,12,1
Mason-Baker,FinTech,Singapore,0.0,23490195,4,3,fail,14,3,10
"Thompson, Cooper and Tate",SaaS,Singapore,5.0,16829251,3,8,fail,13,3,7
Crosby LLC,AI,India,5.0,22499633,2,9,fail,14,3,11
Hill Group,FinTech,India,5.0,31735698,2,5,fail,14,3,10
Davis Inc,FinTech,US,3.0,23575901,5,4,success,4,3,0
Ward-Hopkins,AI,Singapore,6.0,27338780,4,6,fail,6,10,5
"Washington, Castaneda and Monroe",E-Commerce,US,0.0,19947711,1,5,fail,14,3,12
Russell and Sons,E-Commerce,India,15.0,22294731,4,4,success,6,3,3
"Lewis, Evans and Russell",AI,US,1.0,19016986,3,4,fail,14,3,9
Mejia-Malone,SaaS,US,0.0,10809491,2,3,success,14,3,12
"Mcfarland, Edwards and Johns",AI,US,14.0,37739234,4,5,success,5,10,0
Rosales Ltd,HealthTech,Germany,8.0,25693544,2,5,fail,5,1,4
"Murray, Graham and Stafford",AI,India,7.0,30173371,5,3,fail,2,3,1
Martin-Morris,AI,India,0.0,24559728,1,6,fail,10,7,5
"Young, Hernandez and Miller",EdTech,US,8.0,11260852,1,2,fail,13,11,11
"Ferrell, Rowland and Watkins",Biotech,US,6.0,7781351,1,1,fail,5,10,2
Novak-Perez,HealthTech,US,19.0,25566584,2,6,fail,4,3,0
Hernandez-Jacobs,Biotech,UK,1.0,30620409,2,7,fail,11,1,10
White-Brown,AI,Israel,3.0,20962888,1,2,fail,11,10,4
Olson LLC,E-Commerce,US,6.0,11211190,4,1,fail,13,5,6
Davis LLC,FinTech,India,2.0,21412208,4,6,fail,10,7,8
Riddle Group,E-Commerce,India,0.0,11033902,1,3,fail,12,3,8
Villanueva-Bishop,SaaS,Israel,0.0,18757931,1,6,fail,2,1,1
Clements-Medina,EdTech,US,4.0,8363566,1,1,success,14,3,7
Vincent LLC,FinTech,India,1.0,26930465,5,5,success,9,4,1
Cannon LLC,AI,US,0.0,15919406,2,5,success,6,2,2
Ramsey and Sons,FinTech,US,2.0,22376240,2,4,success,14,3,11
"Vazquez, Smith and Brown",Gaming,Singapore,0.0,14936108,2,9,fail,12,10,7
Johnson Group,FinTech,US,0.0,29081639,4,4,fail,14,3,11
Griffin-Freeman,Gaming,Singapore,10.0,11574813,5,2,fail,9,1,5
Daniels-Cobb,Gaming,US,0.0,12776487,3,6,fail,6,8,2
Blankenship PLC,E-Commerce,Singapore,7.0,10625719,1,4,success,11,2,8
"King, Garcia and Stone",EdTech,UK,7.0,10548158,2,4,success,12,2,6
"Harrison, Johnson and Perkins",E-Commerce,US,4.0,19092519,3,3,success,2,12,0
"Vega, Brown and Santiago",EdTech,India,1.0,9631994,1,2,fail,13,6,4
Martinez-Conley,E-Commerce,US,10.0,15659707,4,3,fail,6,12,5
Cruz LLC,E-Commerce,US,3.0,19629091,3,5,success,14,3,11
Webb-Williams,FinTech,India,2.0,25930272,6,5,fail,3,7,0
Cain-Jennings,SaaS,UK,1.0,20339492,2,5,fail,8,7,2
Russell-Lawrence,E-Commerce,Germany,3.0,15092369,1,3,success,2,8,1
"Houston, Hudson and Jones",E-Commerce,US,3.0,10699360,1,6,fail,5,7,5
"Wright, Hicks and Rodriguez",Gaming,Israel,3.0,9599684,1,2,fail,6,4,0
Thomas and Sons,AI,Singapore,5.0,23359469,3,9,fail,2,6,1
"Simmons, Joseph and Cordova",AI,US,13.0,32591303,4,5,fail,13,10,5
Williams-Chavez,Biotech,US,2.0,22887764,3,5,fail,5,10,5
Hampton and Sons,HealthTech,India,6.0,18447853,3,6,fail,6,5,6
Crawford LLC,AI,US,3.0,17796123,1,3,fail,12,2,3
Harris-Cox,Biotech,US,2.0,16183142,3,5,success,7,6,1
Washington Ltd,E-Commerce,UK,8.0,20052257,3,3,fail,7,1,1
Fernandez-Hicks,E-Commerce,UK,11.0,19975504,3,7,success,12,5,10
Rhodes-Castillo,HealthTech,US,4.0,22155724,2,6,success,10,11,4
Smith-Gordon,FinTech,Israel,1.0,27822644,2,6,fail,9,5,9
"Anderson, Rice and Wright",E-Commerce,US,3.0,26128236,3,5,success,14,3,11
Harris LLC,Biotech,UK,2.0,35840804,4,7,fail,5,4,0
"Warren, Hall and Carter",SaaS,US,1.0,8650978,2,3,success,12,2,6
Potter-Curtis,HealthTech,India,3.0,12686921,2,1,fail,8,10,5
"Allen, Lewis and Miller",FinTech,US,2.0,6787981,3,5,fail,9,3,1
Turner Ltd,Biotech,US,1.0,25842236,3,8,success,6,9,0
Pearson Group,E-Commerce,US,11.0,13335236,1,4,success,4,3,2
Rice-Sanders,E-Commerce,US,10.0,10363474,3,2,fail,14,3,9
Lin LLC,AI,UK,2.0,22606614,5,5,success,5,5,0
Perry-Pitts,E-Commerce,US,2.0,12710337,1,4,fail,9,6,1
"Anderson, Lee and Wilson",Gaming,US,3.0,9514976,2,3,fail,4,10,2
Thompson Ltd,Biotech,Canada,4.0,33956078,2,4,fail,6,7,1
"Maldonado, Scott and Ferrell",FinTech,US,4.0,16477371,5,5,fail,14,3,11
Santiago-Campbell,Gaming,US,0.0,10167609,1,3,fail,13,9,5
"Miller, Middleton and Sims",E-Commerce,India,4.0,18025605,3,7,fail,11,8,9
Frederick Group,AI,Canada,11.0,35979436,8,4,success,8,5,8
Silva Ltd,Gaming,Canada,0.0,7275726,2,4,success,7,8,4
Berry-Thomas,Biotech,Germany,2.0,34267342,2,4,fail,10,8,3
"Thomas, Adams and Thompson",HealthTech,US,3.0,16864424,2,7,fail,11,6,5
Rodriguez-Garner,HealthTech,Germany,5.0,19977789,1,3,fail,13,9,9
Austin Group,FinTech,US,0.0,31270473,3,7,success,8,10,2
Parker Group,AI,US,10.0,34223706,4,9,success,11,9,9
Mendez PLC,FinTech,India,0.0,16028528,5,3,success,6,5,5
"Jimenez, Martin and House",E-Commerce,UK,9.0,20379460,2,4,fail,11,1,10
Powell and Sons,FinTech,US,0.0,14857215,2,3,fail,14,3,10
Walton-Smith,E-Commerce,US,0.0,5789732,4,3,fail,8,2,6
"King, Walter and Kaufman",FinTech,Canada,8.0,27828495,3,4,fail,13,3,6
"Robinson, Jones and Cameron",SaaS,Canada,9.0,24213470,2,7,fail,9,6,0
Carter-Taylor,HealthTech,UK,20.0,25581023,3,7,fail,14,3,10
Jones-Arnold,E-Commerce,India,0.0,10306730,1,4,fail,10,10,5
Wade and Sons,Gaming,Canada,3.0,9608692,1,6,fail,6,7,1
"Kelly, Shaw and Fisher",E-Commerce,Germany,0.0,5475210,1,3,fail,14,3,12
"Smith, Buckley and Lee",HealthTech,India,0.0,13320550,2,4,fail,8,6,0
Peck and Sons,FinTech,US,0.0,14235098,2,1,success,9,8,7
Baker-Ruiz,EdTech,US,0.0,8376322,6,2,fail,7,7,2
West-Vasquez,E-Commerce,India,11.0,24705513,2,5,fail,14,3,8
Sanders Inc,SaaS,US,0.0,7502262,2,4,fail,7,4,2
Burns PLC,E-Commerce,US,4.0,17649640,2,4,fail,12,9,11
"Bell, Barker and Mckay",E-Commerce,US,1.0,11443718,1,3,success,1,1,0
Kennedy Ltd,EdTech,Canada,32.0,13727085,3,2,success,11,1,2
"Spencer, Lewis and Perez",Gaming,US,2.0,8562327,3,2,fail,11,4,10
Wheeler LLC,FinTech,India,11.0,33160063,6,10,fail,4,1,0
Cook Inc,AI,Germany,14.0,27448346,2,5,fail,14,1,5
Hart-Ferguson,FinTech,India,14.0,40575773,4,6,success,2,9,2
"Solis, Velez and Johnson",E-Commerce,US,6.0,10492662,7,3,fail,14,3,5
Mills-Riggs,Gaming,India,1.0,7935318,1,4,fail,4,8,1
Patel-Sullivan,E-Commerce,Canada,0.0,13762662,2,4,success,14,3,12
Hall-Kerr,E-Commerce,Singapore,4.0,35420183,5,6,success,10,4,7
"Fisher, Romero and Moore",AI,UK,3.0,23126162,5,5,success,7,3,3
"Abbott, Weaver and Harris",SaaS,US,6.0,25416622,4,2,success,8,6,2
Nguyen LLC,FinTech,Israel,1.0,19874967,6,2,fail,5,6,4
"Fry, Summers and Hansen",HealthTech,Singapore,0.0,9115606,1,8,fail,14,3,12
Clark-Mcgee,E-Commerce,India,1.0,16248473,1,5,fail,7,10,3
"York, Martinez and Cook",HealthTech,Germany,4.0,15471832,4,3,fail,11,11,10
Johnson Inc,AI,India,0.0,30789879,2,8,success,9,8,7
James Inc,AI,US,5.0,38382652,8,6,fail,10,9,6
Simmons-Gutierrez,Biotech,Canada,5.0,29983318,5,5,success,8,2,3
"Hendrix, Lawrence and Smith",SaaS,India,4.0,22986851,3,8,success,12,1,4
"Mckay, Wong and Brooks",Biotech,UK,4.0,40416929,3,7,fail,14,3,12
Reeves-Parker,Gaming,Canada,3.0,5593537,2,3,fail,14,3,10
"Mercado, Mcclure and Miller",HealthTech,Germany,15.0,28442520,4,6,success,6,2,3
"Howard, Kim and Carlson",AI,US,0.0,16913890,4,3,success,14,3,11
"Nelson, Poole and Townsend",E-Commerce,India,2.0,3728579,2,4,fail,3,11,3
Joseph PLC,E-Commerce,Singapore,10.0,19553023,3,2,fail,13,3,12
Burton Ltd,E-Commerce,India,2.0,13558078,2,2,fail,14,3,10
Wood Ltd,SaaS,Singapore,2.0,18932469,2,3,fail,10,4,1
Jenkins LLC,E-Commerce,Canada,5.0,16240763,1,2,fail,10,5,9
Brown-Wade,AI,UK,5.0,41729549,3,7,success,9,3,8
Carr-Gordon,Biotech,US,0.0,21452386,5,4,success,11,1,7
Cardenas-Wade,FinTech,US,3.0,31633879,5,7,success,11,12,9
Adams-Bean,AI,UK,2.0,35969307,3,7,fail,11,2,5
Blair-Benjamin,SaaS,India,4.0,17612964,2,6,success,13,6,12
Wilson-Austin,HealthTech,Canada,4.0,21276772,2,4,success,9,7,9
"Lowe, Perez and Harmon",AI,Germany,5.0,29815362,2,4,fail,4,6,2
Foster PLC,HealthTech,US,5.0,17323447,2,4,fail,1,7,1
"Carlson, Austin and Benjamin",Gaming,Germany,1.0,12185465,8,1,fail,4,6,0
Hughes and Sons,E-Commerce,India,1.0,15643470,5,2,success,6,2,1
Brown-Miller,E-Commerce,US,2.0,18811181,1,4,fail,10,5,6
Mitchell-Petty,AI,India,1.0,21772695,1,4,success,14,3,10
"Webb, Lee and Lewis",HealthTech,Israel,5.0,21375762,1,5,success,12,1,8
"Kelly, Moore and Henderson",E-Commerce,US,4.0,8075511,3,8,success,14,3,12
Smith Group,E-Commerce,US,1.0,15464693,1,4,success,8,12,6
Lara-Morales,E-Commerce,US,10.0,18341763,7,1,success,11,3,4
"Rios, Hodge and Lopez",AI,US,3.0,19593833,4,5,fail,14,3,12
Gillespie-Ingram,AI,India,3.0,24965023,1,5,fail,8,2,4
Garcia PLC,AI,US,1.0,26119323,5,3,success,6,5,0
"Cook, Guzman and Moss",EdTech,Canada,3.0,8709472,5,1,fail,14,3,12
"Ryan, Landry and Villa",E-Commerce,US,2.0,14252124,1,6,fail,8,2,6
Smith-Weaver,FinTech,India,9.0,21831812,4,4,fail,14,3,8
Baxter LLC,SaaS,US,3.0,11613363,1,4,success,1,2,0
Davies-Choi,Gaming,Singapore,12.0,11013970,1,5,fail,14,3,10
Smith Ltd,HealthTech,India,0.0,21245649,6,3,success,13,5,8
Navarro Ltd,AI,Germany,3.0,28601925,6,5,success,11,8,10
Smith Ltd,AI,Germany,1.0,25376768,3,5,fail,7,10,5
"Pratt, Gregory and Rodriguez",EdTech,Canada,0.0,7703533,2,2,fail,0,5,0
Huang-Jones,FinTech,US,3.0,23968569,2,2,fail,6,4,5
Woods Ltd,EdTech,UK,16.0,16601951,4,3,success,10,1,3
"King, Byrd and Garner",FinTech,US,5.0,23447373,1,4,fail,14,3,11
"Velazquez, Frank and Pham",E-Commerce,Canada,5.0,12391404,1,2,fail,7,8,5
Smith-Mccann,SaaS,Singapore,5.0,16401707,4,8,fail,14,3,12
"Reed, Everett and Montgomery",E-Commerce,Israel,0.0,11157245,3,1,fail,13,2,11
Spencer and Sons,FinTech,US,2.0,16113770,7,5,fail,14,3,12
