company_name,founded_on,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,last_funding_date,status
Stout-Leonard,2011-04-15,Gaming,India,5.0,12362001,1,4,2021-04-01,fail
Gray Group,2010-04-13,Biotech,Israel,19.0,35107221,5,6,2019-10-11,fail
"Porter, Baker and Mclaughlin",2017-08-20,AI,India,6.0,23542776,2,5,2020-02-02,fail
Ortega-Wang,2010-10-29,SaaS,Israel,5.0,17020007,1,1,2016-04-28,fail
Morales-Young,2019-06-18,E-Commerce,US,0.0,9139531,1,4,2022-11-05,success
Bruce PLC,2013-04-14,FinTech,US,1.0,18378369,1,3,2015-06-18,fail
"Wilson, Hudson and Reynolds",2011-10-29,AI,Germany,2.0,23557768,8,5,2017-10-06,fail
Herrera PLC,2013-11-15,E-Commerce,India,,16297383,3,6,2021-08-11,success
Paul Inc,2019-12-28,AI,US,14.0,26730223,3,4,2025-03-31,fail
Pearson-Morgan,2021-12-21,SaaS,US,13.0,12028462,3,1,2025-03-31,success
Rowland-Vega,2017-01-09,Biotech,US,4.0,27757668,4,7,2025-03-31,success
Chen Ltd,2018-03-03,Biotech,Canada,0.0,25630455,2,5,2021-04-23,fail
Cox LLC,2010-06-24,SaaS,US,0.0,14109899,1,3,2018-07-03,fail
Collins-Harmon,2015-06-16,FinTech,US,0.0,25697370,1,5,2024-11-14,success
Clark and Sons,2013-07-09,Gaming,Israel,0.0,9492918,2,1,2023-04-06,fail
"Beck, Armstrong and Mcpherson",2014-06-20,SaaS,US,,21369980,1,2,2020-09-13,fail
Ramsey PLC,2022-04-16,Gaming,UK,17.0,24019609,2,5,2025-03-31,success
Lewis-Franco,2022-01-04,FinTech,UK,5.0,18774793,3,5,2025-03-31,fail
Miller Inc,2016-02-22,SaaS,Germany,1.0,12271260,1,3,2019-03-26,success
Rodriguez Group,2019-02-15,SaaS,India,0.0,15397839,1,2,2025-03-31,fail
"Hill, Jones and Gardner",2016-02-10,E-Commerce,Israel,10.0,13067035,1,5,2023-09-09,fail
Osborne-Brandt,2019-02-04,FinTech,Israel,0.0,14623302,1,1,2025-03-31,fail
"Kelly, Simmons and Snyder",2011-08-18,Biotech,US,15.0,28351885,5,2,2017-06-28,success
"Thomas, Walls and Boone",2010-04-15,,US,1.0,15916281,3,3,2013-06-29,success
Roman PLC,2013-12-03,E-Commerce,US,7.0,11907743,4,9,2021-07-17,success
Short-Kelly,2010-03-18,FinTech,US,30.0,34961953,3,9,2011-05-23,fail
Thompson-Hampton,2021-12-06,Biotech,Singapore,0.0,16782659,2,3,2025-03-31,fail
Smith-Jefferson,2017-03-17,E-Commerce,US,5.0,15641672,1,3,2025-03-31,fail
"Rivera, Brown and Garcia",2010-06-02,HealthTech,Canada,0.0,17318196,1,5,2018-12-28,fail
Davis Ltd,2018-12-23,Gaming,US,6.0,14941972,2,4,2023-08-24,fail
Woods-Scott,2019-02-02,HealthTech,India,2.0,15238486,2,8,2025-03-31,success
Cantrell-Webb,2019-05-22,FinTech,Canada,4.0,21321396,4,2,2020-10-28,fail
"Chavez, Meyer and Boone",2010-02-27,Biotech,Canada,3.0,39328504,3,5,2012-01-27,fail
Bradley Group,2022-11-03,,US,2.0,21203473,2,8,2024-08-14,fail
Lawrence-Johnston,2015-10-22,E-Commerce,US,5.0,11072976,1,3,2024-10-23,fail
"Clay, Browning and Ramirez",2014-08-13,,Singapore,1.0,7318444,2,2,2015-11-29,fail
Goodman-Nguyen,2015-07-26,E-Commerce,US,0.0,15395410,4,2,2025-03-02,fail
Jones-Bradshaw,2017-11-06,E-Commerce,Germany,3.0,12449149,6,4,2025-03-31,fail
Clarke-Ramirez,2014-11-18,EdTech,US,2.0,8788341,1,3,2020-10-15,fail
Stewart LLC,2013-11-11,AI,US,12.0,33833125,5,11,2023-01-03,success
Mills and Sons,2016-01-20,AI,India,4.0,25061133,2,7,2017-08-09,fail
Fritz and Sons,2016-01-04,E-Commerce,US,0.0,8972292,1,4,2019-11-13,success
"Ryan, Robinson and Atkins",2018-12-24,HealthTech,US,1.0,15905987,2,2,2021-05-22,success
Johnson-Santos,2013-01-26,E-Commerce,US,10.0,16701413,4,3,2014-12-27,fail
Scott-Martin,2019-10-25,,US,3.0,12902579,5,2,2025-03-31,success
"Pierce, Peck and Mitchell",2019-03-08,SaaS,UK,13.0,21672494,2,6,,fail
Ross LLC,2012-03-28,E-Commerce,Israel,1.0,12962843,3,5,2017-04-10,fail
"Roberts, Barrett and Soto",2010-07-01,FinTech,Canada,0.0,18500790,2,3,2014-03-31,fail
Taylor Group,2014-05-12,,Singapore,0.0,14042990,1,6,2020-10-27,fail
Davis-Allison,2021-05-01,SaaS,India,2.0,14289434,7,2,2024-08-13,fail
"Lee, Clark and Bentley",2018-10-15,E-Commerce,India,1.0,11257097,2,3,2020-06-27,fail
"Jones, Lopez and Johnson",2017-11-28,E-Commerce,US,3.0,13491318,4,3,2025-03-31,fail
Mosley LLC,2019-10-19,FinTech,US,1.0,26497995,6,5,2025-03-31,fail
Smith Group,2017-12-28,E-Commerce,India,8.0,13277119,1,3,2019-04-04,fail
"Gardner, Villa and Berg",2018-08-09,HealthTech,India,16.0,29601965,2,5,2025-03-31,success
"Davis, Perez and Smith",2019-03-08,FinTech,UK,1.0,15625679,1,2,2021-10-31,success
"Mccoy, Thomas and Clarke",2021-11-06,Gaming,Israel,2.0,13950799,2,3,2025-03-31,fail
Wilson-Harris,2016-05-20,FinTech,US,4.0,32083410,6,5,2018-09-10,success
"Cook, Martinez and Carter",2011-05-08,EdTech,India,1.0,6447738,1,2,2012-11-07,fail
Drake and Sons,2015-04-27,AI,US,1.0,8269373,2,6,2020-04-17,success
Conway PLC,2016-06-15,AI,India,5.0,22462763,5,6,2025-03-31,success
Wood-Smith,2019-06-07,HealthTech,US,2.0,12877116,1,3,2025-03-31,fail
Allen-Madden,2022-04-05,E-Commerce,Germany,1.0,13789838,4,6,2025-03-31,fail
Lane Ltd,2021-06-07,AI,US,0.0,32784775,7,4,,fail
"Murphy, Miller and Humphrey",2011-05-15,Biotech,US,0.0,28649969,4,4,2019-04-22,success
Nunez-Moreno,2010-10-04,Gaming,India,2.0,8235915,1,2,2019-04-08,fail
Silva-White,2019-03-09,SaaS,India,3.0,20482466,5,6,2025-03-31,success
Martin-Zamora,2017-02-06,,US,2.0,22490508,5,7,2022-08-19,success
Wallace-White,2013-07-30,E-Commerce,India,1.0,5915281,2,1,2016-10-09,fail
Howard Ltd,2021-05-21,E-Commerce,Canada,2.0,15890882,3,5,2025-03-31,fail
Allen LLC,2019-09-04,AI,Israel,17.0,38999412,2,4,2024-01-06,fail
Mathews-Li,2014-06-01,FinTech,Canada,,20071005,2,5,2019-07-22,fail
Carpenter Group,2013-08-11,E-Commerce,Singapore,,10704000,2,7,2017-06-20,fail
Allen-Williams,2018-10-02,Biotech,US,3.0,16242705,1,3,2021-09-29,fail
"Russell, Smith and Marsh",2016-08-14,FinTech,India,8.0,24762452,4,6,,success
Martin Group,2013-06-15,HealthTech,US,0.0,14187584,1,2,,fail
Roberts-Booth,2017-11-19,SaaS,US,0.0,12316849,3,7,2024-07-28,fail
Chavez Inc,2010-03-22,Biotech,Singapore,4.0,33565410,2,6,2018-10-30,fail
Vargas Ltd,2012-06-13,FinTech,Germany,0.0,20597279,3,5,2016-01-08,fail
Pittman-Lane,2012-08-15,HealthTech,Israel,1.0,16677804,3,3,2015-07-30,fail
Perry and Sons,2015-03-14,Gaming,US,3.0,9512034,5,1,2024-02-19,fail
"Wilson, Young and Brown",2015-04-01,SaaS,Canada,12.0,26849544,6,5,2024-05-28,success
"Howard, Guzman and Perez",2020-06-11,AI,India,1.0,19013183,5,7,2022-07-12,fail
Jones-Mcintyre,2015-08-10,Biotech,Canada,19.0,32972783,4,6,2025-03-31,fail
Holmes Ltd,2011-10-31,E-Commerce,India,0.0,7063638,1,1,2013-02-05,fail
"Alvarado, Smith and Underwood",2011-11-01,HealthTech,Canada,4.0,22377618,2,5,,fail
"Salazar, Daniel and Pace",2020-12-04,Gaming,UK,0.0,6753123,1,2,2025-03-31,fail
Miller-Ramirez,2022-02-13,E-Commerce,US,0.0,10198415,8,6,2025-03-31,fail
Woodard and Sons,2019-04-19,Biotech,UK,3.0,21552502,2,4,2023-10-19,success
Jackson Inc,2018-10-16,Gaming,US,3.0,3352470,1,1,2025-03-31,fail
French Group,2011-07-05,FinTech,US,0.0,10225999,4,3,2020-04-16,fail
Payne-Anderson,2016-11-07,AI,US,0.0,21086274,6,4,2020-09-20,success
"Evans, Stone and Hale",2014-02-21,,Singapore,,25235252,3,4,2021-04-05,success
"Martin, Jones and Strickland",2010-03-28,,Canada,0.0,11233112,2,2,2018-06-08,fail
"Kemp, Galloway and Johnson",2012-01-31,HealthTech,India,1.0,19600175,1,10,2015-05-26,fail
Smith-Walker,2017-09-26,SaaS,US,7.0,21727190,5,8,2025-03-31,fail
Crane Ltd,2020-08-01,E-Commerce,UK,9.0,17864799,1,2,2025-03-31,fail
Bell-Davis,2022-08-22,HealthTech,US,5.0,16383045,2,6,2025-03-31,fail
"Jordan, Hart and Singh",2019-06-13,HealthTech,US,9.0,22457230,1,10,2023-04-24,fail
"Elliott, Morris and Brock",2016-07-29,AI,US,5.0,28379515,3,5,2021-04-08,fail
Davis-Bates,2016-09-25,HealthTech,Israel,2.0,15636074,1,3,2025-03-31,fail
Galvan-Odom,2021-04-05,,Israel,6.0,23263816,1,5,2023-07-14,fail
Smith Ltd,2021-05-28,FinTech,US,,13621852,1,7,2024-08-15,fail
Peterson Group,2012-02-01,SaaS,US,1.0,14452061,3,2,2013-11-12,fail
Golden-Santiago,2011-11-30,HealthTech,India,3.0,19088321,2,8,2019-01-27,success
Edwards-Burke,2021-08-14,E-Commerce,US,8.0,19991750,2,3,2023-10-02,fail
"Rodriguez, Russell and Paul",2011-08-01,Biotech,Singapore,1.0,22490698,2,6,2020-01-31,success
Moreno PLC,2011-04-02,AI,US,4.0,20089342,3,5,2019-09-18,success
Wright and Sons,2021-04-05,E-Commerce,US,2.0,11788977,1,4,2025-03-31,success
Gray-Hunter,2013-04-11,E-Commerce,US,9.0,20657377,3,3,2016-12-13,success
Castro-Myers,2012-06-11,AI,UK,0.0,30473512,2,7,,fail
"Lyons, Davis and Johnson",2015-01-12,E-Commerce,US,,20651180,5,4,2016-11-07,success
"Butler, Parker and Fletcher",2018-09-05,HealthTech,US,4.0,18063491,2,5,2023-06-15,fail
Wilson-Wright,2018-05-23,FinTech,US,23.0,25324527,1,3,2025-03-31,fail
"Zhang, Brown and Mccormick",2020-08-15,EdTech,Canada,6.0,15597192,1,3,2022-09-13,fail
Collins Inc,2016-02-05,E-Commerce,India,11.0,14232474,6,7,2021-12-25,fail
Hopkins-Livingston,2015-12-28,HealthTech,UK,1.0,14473188,2,4,2025-03-31,success
Rivera LLC,2010-04-03,Gaming,US,,13474777,1,1,2015-12-18,success
"Yates, Acosta and Mahoney",2010-07-01,HealthTech,Germany,6.0,14470872,1,6,2020-05-01,fail
Acosta-Banks,2016-10-31,AI,India,1.0,24397716,2,5,2018-09-09,fail
"Friedman, Mccarty and Evans",2010-02-22,E-Commerce,US,9.0,17167488,1,2,2011-04-03,fail
"Duran, Andrews and Lopez",2010-12-29,Gaming,UK,0.0,12566930,2,3,2018-02-05,success
Henry-Dixon,2021-02-23,,UK,1.0,12234717,1,4,2025-03-31,fail
Lewis Inc,2022-12-09,E-Commerce,US,8.0,9155081,2,3,2025-03-31,fail
"Brock, Hunt and Jones",2015-05-14,E-Commerce,US,6.0,12888218,1,5,2019-11-01,success
Mack-Hammond,2010-02-26,FinTech,UK,12.0,14024301,1,3,2011-03-26,fail
"Burke, Sanders and Cox",2016-10-28,AI,India,0.0,12804257,1,3,,success
Huffman-Hull,2011-04-05,SaaS,India,1.0,22110799,2,3,2012-06-11,fail
Smith-Wallace,2015-03-27,E-Commerce,India,2.0,12063291,2,4,2022-12-24,fail
Harper Group,2022-07-15,HealthTech,Singapore,2.0,15023784,4,2,2025-03-31,fail
"Santiago, Silva and Brooks",2013-09-07,E-Commerce,UK,6.0,12890402,1,5,2016-05-27,fail
Richards Inc,2021-07-25,HealthTech,India,0.0,16202034,3,5,2025-03-31,success
Nicholson and Sons,2013-12-07,EdTech,UK,0.0,8963847,1,2,,success
Wells-Tran,2015-04-05,AI,UK,11.0,32932970,8,7,2017-04-12,fail
Aguilar PLC,2014-12-22,SaaS,US,0.0,11828107,4,3,2016-04-26,fail
Morales Inc,2015-09-10,FinTech,India,0.0,20440341,2,4,2022-11-24,fail
Sandoval-Green,2016-11-02,Gaming,Canada,0.0,7948983,1,3,2023-12-28,fail
Miller-Frazier,2012-10-07,EdTech,US,11.0,10723388,1,4,2019-01-27,fail
Gomez-Rhodes,2010-06-24,Gaming,Germany,0.0,10451792,2,5,2018-01-11,success
Carter and Sons,2021-08-31,AI,US,4.0,30197256,3,6,2025-03-31,success
Hawkins-Figueroa,2014-04-21,HealthTech,India,3.0,21195949,4,2,2022-03-04,fail
Strong-Harris,2010-09-21,AI,Canada,0.0,32876357,4,7,2019-12-05,fail
Oconnell-Mack,2017-10-30,AI,India,4.0,26407221,4,4,2020-06-18,fail
"Lin, James and Mcdowell",2011-09-28,HealthTech,US,9.0,18813610,1,2,2017-05-08,fail
"Butler, Moss and Kirby",2015-04-13,FinTech,Germany,1.0,19865554,7,3,2020-10-28,success
"Lee, Williams and Levy",2019-06-07,AI,UK,3.0,20241063,2,4,2025-03-31,fail
Myers-Riley,2018-02-14,AI,US,5.0,18026658,2,7,2022-07-17,success
Dickerson PLC,2019-06-12,SaaS,India,6.0,14813243,3,3,2025-03-31,fail
Simon Group,2016-06-29,EdTech,UK,3.0,7803256,2,2,2024-09-12,fail
Flowers Ltd,2011-02-06,Gaming,India,1.0,11178123,3,7,2016-01-20,success
Pennington-Brooks,2016-07-24,E-Commerce,Germany,2.0,11468745,1,5,2025-03-31,fail
"Shelton, Nolan and Rivers",2022-05-16,Biotech,Israel,16.0,37961959,3,4,2024-10-19,fail
Johnson Inc,2018-04-20,AI,US,6.0,38263367,8,5,2024-02-01,success
"Torres, Johnson and Smith",2019-10-22,E-Commerce,Canada,4.0,15785040,1,7,2025-03-31,fail
Mejia-Irwin,2016-06-08,E-Commerce,US,4.0,14045298,1,7,2025-03-31,fail
"Montgomery, Krause and Taylor",2012-06-30,Gaming,Israel,14.0,17859382,2,5,2020-04-17,fail
Mann-Baldwin,2021-02-18,E-Commerce,US,11.0,19715335,2,4,2025-03-31,success
Brown-Duncan,2011-07-02,AI,India,0.0,13976575,5,7,2015-10-11,fail
"Gilbert, Hines and Cannon",2016-05-31,,UK,13.0,20063284,3,4,2024-11-02,fail
Pugh Ltd,2012-04-17,AI,Germany,0.0,19808680,1,7,2014-10-12,fail
"Romero, Burns and Harrington",2015-06-19,E-Commerce,US,3.0,17362809,1,2,2024-10-08,fail
Wagner-Ward,2021-10-14,EdTech,India,1.0,8936625,1,1,2023-09-13,fail
Weiss PLC,2017-02-13,SaaS,UK,14.0,24350196,2,5,2024-03-31,fail
"Miller, Anderson and Richardson",2014-04-27,HealthTech,UK,4.0,24380682,3,4,2021-08-24,success
"Miller, Nichols and Morrison",2018-12-15,FinTech,US,11.0,28958927,5,5,2025-03-31,success
"Hamilton, Wright and Watts",2012-04-17,AI,Israel,0.0,32655621,6,6,2018-10-03,success
Pittman PLC,2017-12-17,HealthTech,US,3.0,12167811,1,4,2022-09-10,fail
Sutton-Carpenter,2016-12-22,AI,UK,14.0,35689927,5,7,2018-07-26,success
Pace-Bush,2019-05-28,SaaS,India,0.0,16067537,5,4,2025-03-31,fail
Lopez-Williams,2022-12-07,SaaS,US,3.0,7995483,6,3,2024-06-23,fail
Garcia and Sons,2014-09-09,E-Commerce,US,2.0,14442664,2,2,2017-09-30,fail
Pena-Grant,2019-05-27,AI,Canada,3.0,21094378,3,3,2023-12-03,fail
Medina-Burgess,2015-04-10,Gaming,India,0.0,15244519,1,6,2020-09-13,fail
Rivera Ltd,2017-01-06,HealthTech,US,,14543144,1,7,2024-06-24,fail
Snyder-Martinez,2011-07-18,EdTech,Israel,2.0,6579250,2,3,2017-09-21,fail
Carter and Sons,2019-08-02,HealthTech,Singapore,7.0,21022653,2,7,2023-08-11,fail
Williams and Sons,2010-03-15,AI,US,5.0,22132770,4,6,2019-05-09,success
"Moore, Wood and Wolfe",2013-10-17,E-Commerce,Canada,0.0,21351442,4,5,2016-02-03,fail
Combs LLC,2017-02-10,HealthTech,India,6.0,14206738,3,3,2025-02-18,fail
Mueller LLC,2021-04-23,FinTech,Canada,,23805768,1,4,2025-03-31,success
Edwards-Jones,2022-11-24,,UK,1.0,22098792,6,7,,success
Bailey Ltd,2014-02-27,FinTech,UK,3.0,21127850,2,7,2015-10-27,fail
Ramirez-Ho,2013-04-06,SaaS,India,3.0,16126747,7,6,2014-09-04,fail
Church and Sons,2011-07-25,,India,2.0,15927502,2,2,2013-02-22,success
Sullivan-Vargas,2013-01-21,FinTech,US,2.0,19605639,3,1,2023-01-13,fail
"Compton, Guerra and Watson",2017-02-20,HealthTech,UK,9.0,20193542,3,4,2021-12-24,fail
"Levy, Ortiz and Jones",2019-09-09,HealthTech,Israel,,15642867,2,8,2025-03-31,fail
"Mccullough, Charles and Reed",2020-09-29,E-Commerce,US,0.0,9922494,1,3,2025-03-31,fail
"Jones, Ochoa and Wong",2022-07-23,,US,0.0,24224044,3,6,2024-07-06,success
"Baker, Wheeler and Hammond",2018-04-09,EdTech,Israel,1.0,10349685,7,6,2025-03-31,fail
Miller LLC,2014-12-15,HealthTech,US,6.0,18200385,3,3,2020-02-12,success
Parker-Williams,2022-11-28,E-Commerce,Singapore,1.0,11826628,1,4,2025-03-31,fail
Mays Inc,2022-05-14,FinTech,UK,2.0,16905416,3,2,2025-03-31,success
"Ray, Taylor and Moore",2010-06-12,E-Commerce,India,1.0,17659459,2,4,2011-08-10,fail
Macdonald-Short,2017-10-30,Biotech,Germany,12.0,45767716,5,7,2022-11-03,success
"Gilbert, Huff and Price",2012-07-08,FinTech,US,0.0,18769098,4,3,2016-11-30,success
Jones-Cox,2017-08-19,FinTech,Israel,8.0,27645225,2,3,2020-05-25,success
"Hess, Maxwell and Smith",2016-03-24,HealthTech,Canada,7.0,20485282,2,4,2019-02-13,fail
Hernandez Ltd,2011-09-27,EdTech,US,0.0,9632776,1,2,2014-11-03,success
"Mcfarland, Espinoza and Cummings",2022-05-02,Gaming,US,1.0,7635661,1,2,2025-02-09,fail
Rogers-Riley,2019-01-05,EdTech,US,1.0,10535879,4,6,2025-03-31,success
Costa PLC,2014-04-18,HealthTech,US,6.0,21961272,2,8,2020-10-04,fail
Nixon PLC,2018-01-25,FinTech,US,4.0,29967611,7,5,2021-01-27,fail
"Burke, Moore and Williamson",2011-08-31,Biotech,India,9.0,37529048,2,7,2018-09-19,fail
Adams-Hill,2014-04-15,AI,US,0.0,16165804,2,2,2019-11-22,fail
Wall PLC,2022-05-21,FinTech,US,5.0,22643395,4,3,2025-03-31,fail
"Bowman, Robinson and Robinson",2022-08-10,E-Commerce,US,,8260888,4,8,2025-03-31,fail
Roberts Ltd,2020-10-10,FinTech,US,4.0,11421421,2,2,2025-03-31,fail
Richardson and Sons,2019-12-06,AI,US,1.0,18741444,1,4,2023-01-13,fail
"Duncan, Roberts and Tran",2016-07-02,E-Commerce,Singapore,1.0,16733618,1,4,2025-03-31,fail
Christensen LLC,2015-06-07,FinTech,US,0.0,21491624,6,5,2021-08-16,fail
Bruce LLC,2012-01-02,HealthTech,US,6.0,18588554,4,3,2018-10-16,success
"Mclean, Kirby and Fitzgerald",2015-08-30,HealthTech,US,11.0,18189282,4,4,2023-10-12,success
Coleman Group,2012-11-11,,US,8.0,40427927,7,5,2020-12-22,success
Burns-Martinez,2015-10-10,Biotech,India,3.0,27522236,6,8,2025-03-31,success
"White, Sloan and Dunn",2019-11-19,Biotech,India,0.0,10451227,1,5,2025-03-06,fail
Shepard-Stafford,2012-08-24,EdTech,Israel,15.0,9829907,1,2,2018-09-17,success
"Munoz, Goodwin and Walker",2021-01-29,HealthTech,Canada,4.0,22914773,1,5,2022-10-29,fail
Smith Ltd,2011-11-18,HealthTech,US,1.0,17072190,2,4,2015-06-16,fail
Jones Ltd,2015-12-26,Biotech,US,4.0,27239942,2,9,2017-08-11,fail
Wiggins-Gordon,2020-11-10,AI,UK,13.0,40465203,4,7,2025-03-31,success
Sampson Ltd,2022-07-03,AI,US,1.0,21175204,3,5,2025-03-31,fail
Olson Ltd,2016-07-23,FinTech,India,2.0,18620816,2,3,2024-08-23,fail
Thompson-Colon,2018-02-20,HealthTech,India,2.0,14206077,5,7,2024-01-31,fail
Rodgers and Sons,2011-06-15,HealthTech,Israel,3.0,9045839,1,2,2021-05-10,fail
"Clarke, Moran and Arnold",2020-12-16,,Germany,3.0,19715839,3,7,2025-03-31,fail
Dodson-Martin,2010-06-10,HealthTech,US,0.0,10517967,2,3,2016-04-08,success
Stanley Group,2022-12-22,HealthTech,US,4.0,15692028,2,3,2025-03-31,success
Martin LLC,2011-08-26,AI,India,0.0,22089686,2,3,2019-12-04,fail
Taylor-Whitney,2018-07-13,FinTech,US,4.0,22288568,3,6,2025-03-21,fail
Turner-Cooper,2018-01-28,AI,UK,1.0,9290962,3,5,2022-10-15,success
Martinez Group,2022-02-23,HealthTech,US,,22866029,2,6,2025-03-31,fail
"Thomas, Allen and Medina",2019-04-09,EdTech,Israel,0.0,7474530,1,2,2025-03-31,fail
Garcia Inc,2015-08-11,FinTech,Singapore,5.0,19745021,4,2,2022-04-30,fail
Greene PLC,2019-01-01,HealthTech,US,18.0,28589963,2,5,2025-03-31,success
Gay PLC,2013-05-20,AI,India,0.0,20286327,1,7,2017-11-12,fail
"Bray, Frank and Brown",2022-08-21,Gaming,Israel,2.0,13719626,1,4,2023-08-28,fail
Stevens-Nichols,2010-08-25,Biotech,India,2.0,31090440,5,7,2016-03-04,success
Martin-Reyes,2020-06-09,Biotech,US,1.0,31137931,4,9,2023-02-15,fail
Black Group,2019-01-08,E-Commerce,US,9.0,8319566,1,3,2022-01-01,fail
"Fuentes, Brown and Morrow",2017-02-22,SaaS,US,3.0,15049018,4,5,2025-03-31,fail
Campos Ltd,2017-10-10,SaaS,US,16.0,29071979,2,5,2025-03-31,fail
Barnes Ltd,2013-03-17,E-Commerce,India,3.0,10593973,1,2,2018-05-06,fail
Gilbert-Hahn,2019-01-31,SaaS,Israel,8.0,24019261,5,5,2022-02-12,success
"Jenkins, Hardin and Manning",2021-03-31,E-Commerce,UK,13.0,21417027,5,6,2023-03-21,fail
"Stone, Fisher and Houston",2017-07-27,FinTech,Germany,0.0,21612896,6,4,,success
Colon PLC,2015-12-13,HealthTech,UK,12.0,24752161,3,7,2018-12-25,fail
"Wu, Parker and Gonzalez",2020-11-25,HealthTech,India,2.0,12527456,2,5,2025-03-31,success
Bailey Ltd,2022-09-18,E-Commerce,Singapore,0.0,10901394,2,3,2025-03-31,fail
Black PLC,2021-12-23,FinTech,US,2.0,24071124,2,6,2025-03-31,success
"Wang, Ramirez and Manning",2010-11-26,SaaS,US,4.0,15971139,1,5,2017-09-21,fail
"Rivera, Osborne and Oliver",2013-06-17,E-Commerce,Germany,15.0,23502369,2,8,2019-03-17,fail
Lopez-Kennedy,2022-08-01,AI,India,3.0,20219307,4,4,2025-03-31,success
Anthony-Herrera,2022-06-05,,Israel,5.0,18908893,7,2,2025-03-31,fail
Montgomery-Lee,2011-10-14,Gaming,Canada,1.0,7205579,1,4,,success
"Garcia, Gonzalez and Hale",2011-05-31,Gaming,UK,,14113259,8,2,2020-09-04,success
"Lee, Boyd and Rivas",2017-09-13,E-Commerce,US,3.0,10526017,1,6,2022-09-15,success
Weaver PLC,2012-11-22,E-Commerce,US,1.0,14376956,1,3,2020-08-11,success
"Lee, Rose and Gray",2019-02-28,E-Commerce,India,2.0,15934975,1,3,2024-11-14,fail
Jackson-James,2016-06-25,SaaS,Israel,6.0,14195596,2,2,2018-07-06,fail
Berry Inc,2013-11-21,FinTech,Canada,3.0,29783697,3,4,2019-04-22,fail
Benitez PLC,2011-07-12,Gaming,Singapore,,16219400,3,2,2012-09-26,fail
Watson-Martinez,2017-06-22,HealthTech,US,,14628562,1,5,2020-02-14,fail
Caldwell Inc,2012-07-28,HealthTech,India,2.0,14848007,1,3,2022-04-10,fail
"Williams, Mcneil and Franklin",2013-02-14,AI,UK,1.0,32505684,2,5,2019-05-04,success
Velez-Wilkins,2018-11-11,EdTech,Singapore,,4552684,3,5,2025-03-31,success
Bernard and Sons,2019-11-27,E-Commerce,Germany,1.0,3000225,1,2,2023-01-03,success
"Franklin, Garcia and Roy",2018-08-25,,UK,2.0,15139171,1,9,2021-10-24,success
Lee Ltd,2013-06-23,SaaS,US,3.0,14679401,1,3,2015-10-16,fail
"Garcia, Tucker and Guerra",2019-11-14,FinTech,US,13.0,35693541,6,8,2025-03-31,success
Noble-Spencer,2019-09-18,Biotech,Israel,9.0,23908172,2,7,2025-03-31,success
Taylor PLC,2021-01-11,FinTech,Israel,3.0,27208381,2,10,2025-03-31,fail
Brown Inc,2017-12-13,,US,1.0,18497290,5,2,2025-03-31,fail
Schroeder LLC,2020-02-13,FinTech,US,11.0,30076570,3,8,2021-10-03,success
"Austin, Schmidt and Chen",2017-11-29,SaaS,US,6.0,10113192,1,5,2019-10-05,fail
"Andersen, Washington and Thompson",2019-07-02,E-Commerce,US,0.0,14784310,1,3,2020-07-01,success
"Kelley, Allen and Palmer",2015-09-23,AI,Israel,15.0,32810085,3,6,2023-08-31,fail
"West, Robertson and Riley",2021-03-13,FinTech,India,2.0,23167532,3,5,2025-03-31,fail
"Howard, Hill and Mason",2017-06-18,AI,US,0.0,27193908,3,5,2018-08-29,fail
"Ball, Kane and Boyd",2013-08-04,AI,UK,1.0,20370300,3,4,2015-09-06,fail
Gonzalez-Green,2012-05-29,FinTech,Canada,1.0,18251680,1,3,2016-04-29,fail
Cummings-Evans,2011-07-03,AI,US,0.0,18429744,3,2,2018-05-31,fail
Robinson-Johnson,2022-04-17,FinTech,UK,0.0,9457574,4,1,2025-03-31,fail
Robinson Ltd,2014-07-18,EdTech,Canada,1.0,8301125,3,4,2020-08-13,fail
Norman-Crawford,2016-02-17,E-Commerce,Israel,14.0,26562645,5,5,2020-06-29,success
"Jackson, Campbell and Smith",2012-05-17,FinTech,US,5.0,20777457,1,5,2014-08-19,fail
Moore Inc,2020-04-09,SaaS,US,,19422715,2,5,2025-03-31,fail
Lopez-Clay,2020-06-20,Gaming,US,17.0,21555348,1,4,2025-03-31,success
Alvarez-Beard,2021-01-15,E-Commerce,US,0.0,12650823,3,3,2024-11-19,success
Allen PLC,2020-05-17,HealthTech,Canada,9.0,22327369,1,5,2025-03-31,fail
"Barron, Hartman and Woods",2021-09-04,EdTech,US,0.0,7178696,1,4,2025-03-31,success
"Jones, Zimmerman and Barnes",2018-10-26,SaaS,India,4.0,14084157,5,6,2021-12-26,fail
Richardson-Blevins,2015-06-27,E-Commerce,US,2.0,15869823,3,1,2020-08-26,fail
Alvarez-Gaines,2021-08-28,Gaming,US,0.0,6952680,1,3,2023-02-04,success
Foster Inc,2012-04-15,FinTech,Germany,8.0,22199608,2,4,2017-01-24,fail
"Blanchard, Armstrong and Lee",2015-12-10,E-Commerce,India,6.0,15628069,5,7,,fail
"Charles, Hart and Carlson",2016-09-04,AI,US,2.0,24156047,1,5,2025-03-31,fail
Anderson-Guerra,2020-02-13,Gaming,Germany,7.0,14309742,3,4,2021-12-10,fail
"Mendoza, Hartman and Baker",2011-07-06,AI,US,2.0,29284684,3,6,2018-10-07,success
